Group,abx,expgroup,nextDayCFU,Otu001,Otu002,Otu003,Otu004,Otu005,Otu006,Otu007,Otu008,Otu009,Otu011,Otu013,Otu014,Otu015,Otu016,Otu017,Otu018,Otu019,Otu021,Otu024,Other
024-1D-6,Cefoperazone,1untrCef,0,0.586231,0.015154,0.132077,0.065615,0.082846,0.039769,0.002231,0.003462,0.009615,0.001615,0.012077,0.031769,0.004692,0.017615,0.001,0.001615,0.001,0.001,0.001,0.009617
024-3D-6,Cefoperazone,1untrCef,0,0.463769,0.048385,0.193,0.025,0.114231,0.003462,0.004692,0.008385,0.006538,0.001,0.025615,0.061923,0.003462,0.003462,0.004692,0.009615,0.004692,0.001615,0.002231,0.034231
600-1D-6,Cefoperazone,1untrCef,0,0.665,0.100692,0.111769,0.007154,0.058846,0.001,0.005308,0.003462,0.002231,0.001,0.001615,0.042846,0.002231,0.001,0.001615,0.001,0.001,0.001,0.001,0.010231
600-3D-6,Cefoperazone,1untrCef,0,0.695769,0.046538,0.103154,0.005308,0.088385,0.001,0.004077,0.001615,0.006538,0.001,0.001615,0.049615,0.005923,0.001,0.002846,0.001,0.001,0.001,0.001,0.001617
600-4D-6,Cefoperazone,1untrCef,0,0.223769,0.094538,0.522231,0.015769,0.087769,0.001615,0.013308,0.004077,0.002231,0.001,0.004692,0.025,0.001,0.001,0.002846,0.001615,0.001,0.001,0.001615,0.013925
042-1D-6,Cefoperazone,1untrCef,0,0.572077,0.023154,0.157308,0.050231,0.058846,0.041,0.002846,0.002231,0.015154,0.002231,0.019462,0.036077,0.003462,0.001615,0.004077,0.002231,0.003462,0.002231,0.001,0.021305
042-2D-6,Cefoperazone,1untrCef,0,0.634231,0.023154,0.130846,0.041615,0.049615,0.020077,0.001,0.005923,0.019462,0.001,0.015769,0.033615,0.002846,0.029923,0.003462,0.001,0.001,0.001,0.001,0.003462
042-3D-6,Cefoperazone,1untrCef,0,0.647769,0.019462,0.102538,0.046538,0.049,0.029923,0.002846,0.004077,0.026846,0.002231,0.012692,0.047769,0.002846,0.007769,0.001615,0.001,0.001,0.001,0.001,0.012079
042-4D-6,Cefoperazone,1untrCef,0,0.601,0.025615,0.103769,0.031769,0.125923,0.023769,0.001615,0.003462,0.019462,0.004077,0.012692,0.027462,0.002846,0.021308,0.008385,0.001,0.001,0.001,0.001,0.002846
091-1-D-6,Cefoperazone,1untrCef,0,0.606538,0.023769,0.097,0.011462,0.061308,0.061923,0.002231,0.001,0.019462,0.001,0.012077,0.078538,0.021923,0.009615,0.001615,0.001615,0.001,0.001,0.002231,0.004693
091-2-D-6,Cefoperazone,1untrCef,0,0.584385,0.024385,0.101308,0.015769,0.066846,0.035462,0.003462,0.004077,0.012692,0.001,0.009,0.103154,0.023154,0.018231,0.008385,0.001,0.001,0.001,0.001,0.00469
